epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2976.83,0.87714,0.65903,1.1437,0.88221,0.75847,0.79429,0.34482,2.16213,1.02502,2.20042,0.00173468,0.00173468,0.00173468
69,3019.56,0.83521,0.63343,1.12724,0.9352,0.82278,0.85468,0.36384,2.21342,0.95052,2.36871,0.00173072,0.00173072,0.00173072
70,3063,0.85191,0.63325,1.13043,0.85477,0.73418,0.77675,0.3263,2.44864,0.98956,2.86516,0.00172676,0.00172676,0.00172676
71,3106.21,0.84927,0.64203,1.12147,0.84402,0.82278,0.78986,0.34408,2.43388,0.95195,3.0499,0.0017228,0.0017228,0.0017228
72,3149.19,0.8289,0.60872,1.11504,0.85738,0.77215,0.8268,0.37886,2.31156,0.86299,2.52555,0.00171884,0.00171884,0.00171884
73,3192.49,0.8233,0.60089,1.12137,0.84789,0.81013,0.81098,0.33454,2.343,0.90511,2.54903,0.00171488,0.00171488,0.00171488
74,3235.99,0.83296,0.62307,1.12101,0.86012,0.7784,0.80672,0.34691,2.35146,0.93858,2.52026,0.00171092,0.00171092,0.00171092
75,3278.92,0.81825,0.61649,1.11993,0.86593,0.78481,0.82596,0.35111,2.36571,0.92981,2.77579,0.00170696,0.00170696,0.00170696
76,3322.7,0.82969,0.61643,1.13269,0.84102,0.81013,0.81855,0.33444,2.38374,0.99845,2.63146,0.001703,0.001703,0.001703
77,3365.54,0.83044,0.59266,1.11753,0.79981,0.7586,0.71122,0.28211,2.45573,1.00017,2.86389,0.00169904,0.00169904,0.00169904
78,3408.57,0.80525,0.61832,1.10743,0.84659,0.77215,0.78513,0.32456,2.40589,0.99023,2.86404,0.00169508,0.00169508,0.00169508
79,3454.02,0.82125,0.60638,1.10256,0.84882,0.75949,0.77973,0.31622,2.40678,1.11001,2.55959,0.00169112,0.00169112,0.00169112
80,3499.54,0.78789,0.58354,1.0953,0.87414,0.78481,0.83818,0.36117,2.18975,0.89033,2.63621,0.00168716,0.00168716,0.00168716
81,3545.61,0.81243,0.58117,1.1125,0.85341,0.73418,0.80261,0.34616,2.24479,0.93813,2.36668,0.0016832,0.0016832,0.0016832
82,3591.84,0.81617,0.58479,1.10945,0.87645,0.81013,0.84776,0.37948,2.26294,0.94618,2.45335,0.00167924,0.00167924,0.00167924
83,3635.6,0.79904,0.57541,1.08962,0.8625,0.74684,0.79128,0.33625,2.4415,0.91943,2.60462,0.00167528,0.00167528,0.00167528
84,3678.77,0.78845,0.5817,1.09879,0.77621,0.70251,0.71989,0.29302,2.46527,1.02485,2.81746,0.00167132,0.00167132,0.00167132
85,3722.27,0.78964,0.57972,1.08683,0.82101,0.75486,0.76809,0.33689,2.3882,0.93476,2.48661,0.00166736,0.00166736,0.00166736
86,3765.29,0.78742,0.57501,1.08984,0.88956,0.78481,0.8299,0.33272,2.43513,0.98865,2.76626,0.0016634,0.0016634,0.0016634
87,3808.68,0.79303,0.5727,1.09536,0.81528,0.78218,0.81268,0.34639,2.37812,0.93172,2.59777,0.00165944,0.00165944,0.00165944
88,3859.1,0.77624,0.56359,1.08243,0.90662,0.75949,0.83015,0.33432,2.4168,0.8895,2.70945,0.00165548,0.00165548,0.00165548
89,3901.81,0.78472,0.57438,1.09134,0.87267,0.78082,0.80922,0.3595,2.34582,0.93613,2.79656,0.00165152,0.00165152,0.00165152
90,3945.16,0.77801,0.56504,1.09168,0.84491,0.74684,0.8066,0.3486,2.35786,0.95347,2.7935,0.00164756,0.00164756,0.00164756
91,3988.36,0.79084,0.57751,1.08263,0.89244,0.79747,0.82416,0.35436,2.33222,0.88311,2.71308,0.0016436,0.0016436,0.0016436
92,4032.16,0.77165,0.57705,1.08476,0.88339,0.79747,0.81297,0.34614,2.37851,0.93135,2.95189,0.00163964,0.00163964,0.00163964
93,4075.29,0.79297,0.56366,1.10842,0.87238,0.77883,0.82135,0.32873,2.44994,0.94231,2.83417,0.00163568,0.00163568,0.00163568
94,4118.82,0.76809,0.54397,1.08321,0.84168,0.74028,0.7944,0.32948,2.34953,0.98661,2.62529,0.00163172,0.00163172,0.00163172
95,4162.26,0.77079,0.5695,1.07748,0.86226,0.79244,0.83225,0.33117,2.35682,1.03887,2.70185,0.00162776,0.00162776,0.00162776
96,4205.97,0.74309,0.54555,1.05719,0.89409,0.79747,0.83359,0.34462,2.31513,0.91319,2.58609,0.0016238,0.0016238,0.0016238
97,4249.72,0.78612,0.57261,1.09698,0.83912,0.82278,0.81156,0.35673,2.35807,0.88494,2.88235,0.00161984,0.00161984,0.00161984
98,4300.81,0.7403,0.52779,1.07369,0.91428,0.81006,0.85836,0.36863,2.28009,0.88041,2.49249,0.00161588,0.00161588,0.00161588
99,4343.96,0.74424,0.54149,1.06977,0.86697,0.825,0.84353,0.37212,2.35909,0.96095,2.70873,0.00161192,0.00161192,0.00161192
100,4387.32,0.73377,0.53513,1.07504,0.86461,0.80835,0.85376,0.35339,2.37998,0.89554,2.67298,0.00160796,0.00160796,0.00160796
101,4429.8,0.75792,0.55381,1.08408,0.86046,0.78063,0.80771,0.34686,2.36075,0.89007,2.88858,0.001604,0.001604,0.001604
102,4472.23,0.73792,0.53728,1.06876,0.89894,0.78817,0.82038,0.335,2.4341,0.96004,2.8529,0.00160004,0.00160004,0.00160004
103,4514.32,0.75752,0.54896,1.07674,0.82695,0.72594,0.76619,0.32261,2.37926,0.92973,2.82557,0.00159608,0.00159608,0.00159608
104,4557.14,0.73905,0.53596,1.05068,0.86078,0.73418,0.7839,0.32998,2.4445,0.93274,2.84223,0.00159212,0.00159212,0.00159212
105,4599.67,0.73616,0.53563,1.06442,0.82698,0.75949,0.77815,0.30443,2.44421,0.96718,2.74961,0.00158816,0.00158816,0.00158816
106,4643.33,0.73785,0.5263,1.06875,0.83659,0.77215,0.83101,0.32244,2.3999,0.91321,2.60473,0.0015842,0.0015842,0.0015842
107,4686.98,0.73731,0.53162,1.06914,0.95507,0.8073,0.85821,0.34426,2.31271,0.91531,2.56515,0.00158024,0.00158024,0.00158024
108,4730.48,0.73608,0.51852,1.06031,0.88215,0.79747,0.82625,0.349,2.2976,0.82487,2.63307,0.00157628,0.00157628,0.00157628
109,4773.84,0.7545,0.53551,1.078,0.86995,0.79747,0.85872,0.37079,2.27805,0.96596,2.57626,0.00157232,0.00157232,0.00157232
110,4817.21,0.74058,0.51822,1.07183,0.91625,0.831,0.86515,0.39356,2.26931,0.90521,2.63033,0.00156836,0.00156836,0.00156836
111,4879.46,0.7407,0.52151,1.06736,0.81501,0.77215,0.79333,0.3333,2.3938,0.94699,2.94127,0.0015644,0.0015644,0.0015644
112,4932.25,0.7079,0.51267,1.05116,0.86163,0.78829,0.78918,0.33851,2.37337,0.86821,2.84703,0.00156044,0.00156044,0.00156044
113,4984.56,0.7039,0.51066,1.04171,0.89905,0.78915,0.82495,0.35254,2.3887,0.89412,3.16504,0.00155648,0.00155648,0.00155648
114,5037.56,0.72793,0.50944,1.0547,0.89238,0.8397,0.85988,0.3767,2.38429,0.80691,3.0143,0.00155252,0.00155252,0.00155252
115,5089.48,0.7258,0.50799,1.06126,0.8514,0.82278,0.82316,0.36013,2.32833,0.84657,2.87565,0.00154856,0.00154856,0.00154856
116,5140.27,0.71549,0.51757,1.05229,0.85184,0.7278,0.76414,0.32992,2.39381,1.09539,2.91873,0.0015446,0.0015446,0.0015446
117,5191.9,0.7063,0.50196,1.04636,0.87549,0.80106,0.817,0.36544,2.34849,0.85602,2.89225,0.00154064,0.00154064,0.00154064
118,5240.53,0.70703,0.50455,1.04931,0.80399,0.77215,0.80837,0.35049,2.32906,0.98041,2.79436,0.00153668,0.00153668,0.00153668
119,5288.86,0.70541,0.49044,1.05304,0.86471,0.77215,0.77305,0.35158,2.36834,0.93771,3.00226,0.00153272,0.00153272,0.00153272
120,5336.71,0.71138,0.50953,1.05424,0.8082,0.73418,0.77616,0.33356,2.40734,0.96072,2.85681,0.00152876,0.00152876,0.00152876
121,5388.85,0.72338,0.50146,1.06047,0.85768,0.74684,0.76902,0.36501,2.36674,0.93599,2.9238,0.0015248,0.0015248,0.0015248
122,5439.74,0.70549,0.4968,1.04204,0.9207,0.73485,0.79945,0.35476,2.28997,1.09161,2.92734,0.00152084,0.00152084,0.00152084
123,5489.26,0.69957,0.50385,1.04734,0.84831,0.75949,0.76915,0.34632,2.35407,0.86186,2.89414,0.00151688,0.00151688,0.00151688
124,5544.77,0.70391,0.50036,1.04928,0.88863,0.72152,0.80037,0.36581,2.31405,0.90044,2.62491,0.00151292,0.00151292,0.00151292
125,5593.26,0.70466,0.5043,1.04137,0.86654,0.73973,0.8358,0.36394,2.32797,1.00374,2.89057,0.00150896,0.00150896,0.00150896
126,5666.73,0.70193,0.51011,1.04745,0.91411,0.6962,0.81267,0.36175,2.2319,1.02593,2.70698,0.001505,0.001505,0.001505
127,5722.83,0.68058,0.4876,1.03015,0.80723,0.74213,0.7691,0.33425,2.32829,1.09065,2.92866,0.00150104,0.00150104,0.00150104
128,5796.16,0.68435,0.49102,1.038,0.87144,0.6962,0.75534,0.33396,2.39254,1.02183,2.95101,0.00149708,0.00149708,0.00149708
129,5863.12,0.67627,0.48157,1.02914,0.83175,0.75096,0.78851,0.34349,2.40804,0.91204,3.02996,0.00149312,0.00149312,0.00149312
